epiweek,time_value,issue,geo_type,geo_value,sars-cov-2_tests,sars-cov-2_positive_tests,flu_tests,flu_positive_tests,flu_ah1pdm09_positive_tests,flu_ah3_positive_tests,flu_auns_positive_tests,flu_a_positive_tests,flu_b_positive_tests,rsv_tests,rsv_positive_tests,hpiv_tests,hpiv_1_positive_tests,hpiv_2_positive_tests,hpiv_3_positive_tests,hpiv_4_positive_tests,hpiv_other_positive_tests,adv_tests,adv_positive_tests,hmpv_tests,hmpv_positive_tests,ev_rv_tests,ev_rv_positive_tests,hcov_tests,hcov_positive_tests
202338,2023-09-23,2024-09-26,nation,ca,30232,5602,20532,111,45,9,33,101,10,18982,117,8498.0,18.0,18.0,9.0,14.0,46.0,8547.0,62.0,8482.0,21.0,8590.0,1134.0,7095.0,49.0
202338,2023-09-23,2024-09-26,lab,nl,775,101,641,0,0,0,0,0,0,641,0,641.0,2.0,0.0,0.0,4.0,0.0,641.0,5.0,641.0,1.0,641.0,150.0,641.0,2.0
202338,2023-09-23,2024-09-26,lab,pe,136,15,42,0,0,0,0,0,0,42,0,11.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,11.0,0.0,11.0,7.0,11.0,2.0
202338,2023-09-23,2024-09-26,lab,ns,1339,279,1272,1,0,0,1,1,0,1177,0,42.0,0.0,0.0,0.0,0.0,0.0,42.0,0.0,42.0,0.0,42.0,13.0,42.0,1.0
202338,2023-09-23,2024-09-26,lab,nb,1272,204,859,0,0,0,0,0,0,859,0,153.0,0.0,1.0,2.0,1.0,0.0,153.0,5.0,153.0,0.0,153.0,47.0,153.0,5.0
202338,2023-09-23,2024-09-26,region,atlantic,3522,599,2814,1,0,0,1,1,0,2719,0,847.0,2.0,1.0,2.0,5.0,0.0,847.0,10.0,847.0,1.0,847.0,217.0,847.0,10.0
202338,2023-09-23,2024-09-26,lab,région nord-est,1622,349,831,0,0,0,0,0,0,452,1,61.0,0.0,1.0,0.0,1.0,0.0,61.0,0.0,61.0,1.0,61.0,17.0,61.0,0.0
202338,2023-09-23,2024-09-26,lab,québec-chaudière-appalaches,1879,316,1157,3,0,0,0,0,3,1157,12,558.0,1.0,1.0,0.0,1.0,0.0,572.0,8.0,558.0,0.0,585.0,144.0,504.0,17.0
202338,2023-09-23,2024-09-26,lab,centre-du-québec,2378,627,857,4,0,0,4,4,0,616,18,38.0,0.0,1.0,0.0,0.0,0.0,38.0,1.0,38.0,0.0,38.0,13.0,39.0,3.0
202338,2023-09-23,2024-09-26,lab,montréal-laval,2129,390,1504,6,0,0,6,6,0,1357,23,846.0,6.0,7.0,5.0,2.0,0.0,846.0,12.0,850.0,3.0,869.0,134.0,846.0,8.0
202338,2023-09-23,2024-09-26,lab,ouest du québec,1541,475,518,2,0,0,1,1,1,517,6,10.0,1.0,0.0,0.0,0.0,0.0,10.0,0.0,10.0,0.0,10.0,3.0,10.0,0.0
202338,2023-09-23,2024-09-26,lab,montérégie,1715,425,800,0,0,0,0,0,0,799,4,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,5.0,1.0,2.0,0.0
202338,2023-09-23,2024-09-26,region,qc,11264,2582,5667,15,0,0,11,11,4,4898,64,1515.0,8.0,10.0,5.0,4.0,0.0,1529.0,21.0,1519.0,4.0,1568.0,312.0,1462.0,28.0
202338,2023-09-23,2024-09-26,lab,phol - ottawa,132,44,106,0,0,0,0,0,0,105,0,71.0,0.0,0.0,0.0,0.0,1.0,71.0,0.0,71.0,0.0,71.0,15.0,71.0,0.0
202338,2023-09-23,2024-09-26,lab,eorla,701,92,437,2,0,0,2,2,0,437,5,48.0,0.0,0.0,0.0,0.0,0.0,48.0,1.0,48.0,0.0,48.0,8.0,48.0,0.0
202338,2023-09-23,2024-09-26,lab,phol - kingston,201,57,105,1,1,0,0,1,0,105,0,66.0,0.0,0.0,0.0,0.0,0.0,66.0,0.0,66.0,0.0,66.0,21.0,66.0,1.0
202338,2023-09-23,2024-09-26,lab,phol - peterborough,97,55,128,1,0,1,0,1,0,128,2,83.0,0.0,0.0,0.0,0.0,1.0,83.0,1.0,83.0,0.0,83.0,24.0,83.0,0.0
202338,2023-09-23,2024-09-26,lab,phol - toronto,762,207,799,3,2,0,0,2,1,799,0,702.0,0.0,0.0,0.0,0.0,12.0,703.0,5.0,702.0,4.0,702.0,159.0,702.0,1.0
202338,2023-09-23,2024-09-26,lab,uhn / mount sinai hospital,872,131,787,2,0,0,2,2,0,787,0,85.0,0.0,0.0,0.0,0.0,0.0,85.0,0.0,85.0,0.0,85.0,5.0,85.0,0.0
202338,2023-09-23,2024-09-26,lab,sick kids hospital - toronto,108,9,124,0,0,0,0,0,0,124,2,124.0,1.0,1.0,0.0,0.0,0.0,124.0,1.0,124.0,0.0,124.0,49.0,124.0,2.0
202338,2023-09-23,2024-09-26,lab,shared hospital laboratory,1360,131,996,2,2,0,0,2,0,997,2,987.0,0.0,0.0,0.0,0.0,15.0,987.0,1.0,995.0,1.0,995.0,84.0,995.0,0.0
202338,2023-09-23,2024-09-26,lab,phol - hamilton,72,24,97,0,0,0,0,0,0,97,0,90.0,0.0,0.0,0.0,0.0,5.0,90.0,2.0,90.0,0.0,90.0,23.0,90.0,0.0
202338,2023-09-23,2024-09-26,lab,st. joseph's - hamilton,1595,209,1423,6,0,0,5,5,1,1423,6,1423.0,0.0,0.0,4.0,0.0,0.0,1423.0,2.0,1423.0,4.0,1423.0,205.0,0.0,0.0
202338,2023-09-23,2024-09-26,lab,phol - london,408,205,330,0,0,0,0,0,0,330,1,247.0,0.0,0.0,0.0,0.0,2.0,248.0,1.0,247.0,1.0,247.0,29.0,247.0,0.0
202338,2023-09-23,2024-09-26,lab,st. joseph's - london,549,82,73,0,0,0,0,0,0,73,2,72.0,0.0,0.0,0.0,0.0,1.0,73.0,1.0,73.0,0.0,73.0,14.0,73.0,0.0
202338,2023-09-23,2024-09-26,lab,phol - orillia,9,2,5,0,0,0,0,0,0,5,0,5.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,5.0,0.0,5.0,0.0,5.0,0.0
202338,2023-09-23,2024-09-26,lab,phol - sudbury,23,12,26,0,0,0,0,0,0,26,0,15.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,15.0,0.0,15.0,0.0,15.0,0.0
202338,2023-09-23,2024-09-26,lab,phol - timmins,44,22,44,0,0,0,0,0,0,44,0,25.0,0.0,0.0,0.0,0.0,1.0,25.0,0.0,25.0,0.0,25.0,4.0,25.0,0.0
202338,2023-09-23,2024-09-26,lab,phol - sault ste. marie,7,4,9,0,0,0,0,0,0,9,0,9.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,9.0,0.0,9.0,0.0,9.0,0.0
202338,2023-09-23,2024-09-26,lab,sault area hospital,79,5,75,0,0,0,0,0,0,75,0,68.0,0.0,0.0,0.0,0.0,0.0,68.0,1.0,68.0,0.0,68.0,11.0,68.0,1.0
202338,2023-09-23,2024-09-26,lab,phol - thunder bay,28,10,28,0,0,0,0,0,0,28,0,25.0,0.0,0.0,0.0,0.0,1.0,25.0,0.0,25.0,0.0,25.0,4.0,25.0,0.0
202338,2023-09-23,2024-09-26,region,on,7047,1301,5592,17,5,1,9,15,2,5592,20,4145.0,1.0,1.0,4.0,0.0,39.0,4148.0,16.0,4154.0,10.0,4154.0,655.0,2731.0,5.0
202338,2023-09-23,2024-09-26,lab,mb,1105,199,290,0,0,0,0,0,0,290,0,67.0,0.0,0.0,1.0,1.0,0.0,67.0,2.0,91.0,0.0,67.0,28.0,91.0,0.0
202338,2023-09-23,2024-09-26,lab,sk,1324,178,947,3,1,0,0,1,2,841,1,371.0,0.0,0.0,0.0,1.0,0.0,371.0,4.0,371.0,1.0,371.0,66.0,371.0,0.0
202338,2023-09-23,2024-09-26,lab,ab,3919,472,939,10,4,2,0,7,3,833,1,833.0,3.0,2.0,2.0,0.0,0.0,833.0,5.0,761.0,0.0,825.0,180.0,833.0,3.0
202338,2023-09-23,2024-09-26,region,prairies,6348,849,2176,13,5,2,0,8,5,1964,2,1271.0,3.0,2.0,3.0,2.0,0.0,1271.0,11.0,1223.0,1.0,1263.0,274.0,1295.0,3.0
202338,2023-09-23,2024-09-26,region,bc,2178,360,2906,60,13,4,0,60,0,2906,12,710.0,7.0,1.0,5.0,3.0,0.0,710.0,2.0,710.0,2.0,702.0,162.0,702.0,3.0
202338,2023-09-23,2024-09-26,lab,yk,50,4,37,0,0,0,0,0,0,37,0,,,,,,,,,,,,,,
202338,2023-09-23,2024-09-26,lab,nt,47,6,45,0,0,0,0,0,0,45,0,,,,,,,45.0,0.0,45.0,0.0,45.0,16.0,,
202338,2023-09-23,2024-09-26,lab,nu,111,10,88,0,0,0,0,0,0,88,0,,,,,,,,,,,,,,
202338,2023-09-23,2024-09-26,region,territories,208,20,170,0,0,0,0,0,0,170,0,,,,,,,45.0,0.0,45.0,0.0,45.0,16.0,,
202338,2023-09-23,2024-09-26,nation,ca,30567,5711,19325,106,23,7,21,95,11,18249,98,8488.0,21.0,15.0,19.0,14.0,39.0,8550.0,60.0,8498.0,18.0,8579.0,1636.0,7037.0,49.0
